"date","status","latitude","longitude","wind"
"200507031800","TD","18.3","86.7","30"
"200507040000","TD","18.6","87.2","30"
"200507040330","TD","19","87.6","30"
"200507040600","TD","19.3","87.9","30"
"200507041200","TD","20.9","88.5","25"
"200507041800","TD","22.3","89","30"
"200507050000","TD","23.9","89.7","30"
"200507050600","TS","25.1","90.2","35"
"200507051200","TS","26.4","90.4","45"
"200507051800","TS","27.6","90.5","60"
"200507060000","HU","28.5","90.3","65"
"200507060300","HU","29.2","90.1","65"
"200507060600","TS","29.6","90","50"
"200507060900","TS","30.2","89.5","45"
"200507061200","TS","30.8","88.9","40"
"200507061800","TD","31.6","88.1","30"
"200507070000","TD","32.4","87.2","25"
"200507070600","TD","33.2","86.2","20"
"200507071200","EX","34.6","84.1","20"
"200507071800","EX","35.6","81.8","20"
"200507080000","EX","37.1","80","20"
"200507080600","EX","37.8","78.3","20"
"200507081200","EX","38.4","76.7","25"
"200507081800","EX","39.1","74.8","25"
"200507090000","EX","39.5","72","25"
"200507090600","EX","40.8","70.7","25"
"200507091200","EX","41.6","69.8","30"
"200507091800","EX","43.5","69.6","30"
"200507100000","EX","44.9","69.8","30"
"200507100600","EX","45.5","70","30"
"200507101200","EX","46.5","67.6","25"
"200507101800","EX","48","66.4","20"
"200507110000","EX","48.5","64.5","20"
"200507110600","EX","48.5","62.5","20"
